ratio,Spacy_entity,Spacy_tag,Spacy_clean_entities,Wiki_entity,Wiki_tag,Wiki_clean_entities
95,Stormbirds,'NORP',stormbirds,Stormbird,,stormbird
95,Praetor Space Marine,'ORG',praetor space marine,Praetor (Space Marine),,praetor (space marine)
85,the Osiran Psybrids,'ORG',the osiran psybrids,Osiran Psybrid,,osiran psybrid
88,The Chief Librarian,'PERSON',the chief librarian,Chief Librarian,,chief librarian
92,Macrocannons,'PERSON',macrocannons,Macro-cannon,,macro-cannon
97,Butcher s Nails,'ORG',butcher s nails,Butchers Nails,,butchers nails
96,Lion El Jonson,'PERSON',lion el jonson,Lion ElJonson,,lion eljonson
87,The  Golden Throne,'PERSON',the golden throne,Golden Throne,,golden throne
91,Cyclonic Torpedo es,'PERSON',cyclonic torpedo es,Cyclonic Torpedo,,cyclonic torpedo
84,the Brides of the Emperor,'PERSON',the brides of the emperor,Pride of the Emperor,,pride of the emperor
82,Adamant,'LOC',adamant,adamantium,,adamantium
93,Strike Cruiser s,'ORG',strike cruiser s,Strike Cruiser,,strike cruiser
89,M kar,'PERSON',m kar,Mkar,,mkar
87,Armour of Hatred,'PERSON',armour of hatred,Armour of Fate,,armour of fate
88,the Lord of Change,'PERSON',the lord of change,Lord of Change,,lord of change
90,the High Lords of Terra,'PERSON',the high lords of terra,High Lords of Terra,,high lords of terra
98,Battle of Lion s Gate,'PERSON',battle of lion s gate,Battle of Lions Gate,,battle of lions gate
92,Zar Quaesitor,'PERSON',zar quaesitor,Zar-Quaesitor,,zar-quaesitor
89,the Great Unclean One,'PERSON',the great unclean one,Great Unclean One,,great unclean one
92,Ku gath,'PERSON',ku gath,Kugath,,kugath
84,the   Furious Abyss,'LOC',the  furious abyss,Furious Abyss,,furious abyss
88,the Auretian Technocracy,'ORG',the auretian technocracy,Auretian Techocracy,,auretian techocracy
85,The  Fabricator General,'PERSON',the fabricator general,Fabricator-General,,fabricator-general
82,Kelbor Hal s,'PERSON',kelbor hal s,Kelbor-Hal,,kelbor-hal
88,the Calth Atrocity,'ORG',the calth atrocity,Calth Atrocity,,calth atrocity
90,Agri World,'LOC',agri world,Agri-world,,agri-world
83,Underworld,'LOC',underworld,Underworld War,,underworld war
86,the Nova Terra Interregnurn,'ORG',the nova terra interregnurn,Nova Terra Interregnum,,nova terra interregnum
89,the  Imperial Calendar,'ORG',the imperial calendar,Imperial Calendar,,imperial calendar
89,The Jorun Retaliation,'ORG',the jorun retaliation,Jorun Retaliation,,jorun retaliation
96,Tyrannic War,'NORP',tyrannic war,Tyrannic Wars,,tyrannic wars
95,Sergeant Space Marine,'ORG',sergeant space marine,Sergeant (Space Marine),,sergeant (space marine)
97,M kar the Reborn,'PERSON',m kar the reborn,Mkar the Reborn,,mkar the reborn
85,the Flayed Ones,'PERSON',the flayed ones,Flayed Ones,,flayed ones
81,The Spheres of Expansion,'PERSON',the spheres of expansion,Fourth Sphere Expansion,,fourth sphere expansion
86,Agri World,'LOC',agri world,Agri-worlds,,agri-worlds
88,the   Principia Bellicosa,'ORG',the  principia bellicosa,Principia Bellicosa,,principia bellicosa
84,Phosphoenix,'PERSON',phosphoenix,Phosphex,,phosphex
89,Fulmentarus Terminator Strike Squad,'ORG',fulmentarus terminator strike squad,Fulmentarus Terminator Squad,,fulmentarus terminator squad
89,Predator s,'ORG',predator s,Predator,,predator
90,Whirlwind s,'ORG',whirlwind s,Whirlwind,,whirlwind
83,Multi Melta s,'ORG',multi melta s,Multi-melta,,multi-melta
81,Wargear  ificer Armour,'PERSON',wargear ificer armour,Artificer Armour,,artificer armour
89,the  Chapter Champion,'PERSON',the chapter champion,Chapter Champion,,chapter champion
90,the  Master of the Forge,'PERSON',the master of the forge,Master of the Forge,,master of the forge
91,Vindicator s,'ORG',vindicator s,Vindicator,,vindicator
92,Assault Bike s,'ORG',assault bike s,Assault Bike,,assault bike
92,Attack Bike s,'ORG',attack bike s,Attack Bike,,attack bike
91,Lieutenant s,'ORG',lieutenant s,Lieutenant,,lieutenant
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 5th Company,,ultramarines 5th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 6th Company,,ultramarines 6th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 7th Company,,ultramarines 7th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 9th Company,,ultramarines 9th company
95,Battleships,'ORG',battleships,Battleship,,battleship
81,the First Founding,'ORG',the first founding,Third Founding,,third founding
81,the  Knights Errant,'ORG',the knights errant,Knights-Errant,,knights-errant
89,the Progenoid Glands,'LOC',the progenoid glands,Progenoid Glands,,progenoid glands
85,Any Legion Contemptor Pattern Dreadnought,'ORG',any legion contemptor pattern dreadnought,Contemptor Pattern Dreadnought,,contemptor pattern dreadnought
82,Worldmaker,'PERSON',worldmaker,Worldbreaker,,worldbreaker
86,Centurion Space Marine,'PERSON',centurion space marine,Centurion (Space Marine Rank),,centurion (space marine rank)
93,Sus an Membrane,'PERSON',sus an membrane,Sus-an Membrane,,sus-an membrane
86,the  Macragge s Honour,'ORG',the macragge s honour,Macragges Honour,,macragges honour
81,Cursed Founding,'ORG',cursed founding,3rd Founding,,3rd founding
82,Tyrannic War Veteran Veterans,'ORG',tyrannic war veteran veterans,#Tyrannic War Veterans,,#tyrannic war veterans
88,the Corinth Crusade,'ORG',the corinth crusade,Corinth Crusade,,corinth crusade
82,Titus Space Marine Titus,'PERSON',titus space marine titus,Titus (Space Marine),,titus (space marine)
92,La Kais,'PERSON',la kais,LaKais,,lakais
89,the  Rubicon Primaris,'ORG',the rubicon primaris,Rubicon Primaris,,rubicon primaris
88,the   Banner of Macragge,'ORG',the  banner of macragge,Banner of Macragge,,banner of macragge
81,the Chaos Sorcerer,'PERSON',the chaos sorcerer,Chaos Sorceror,,chaos sorceror
83,a Sector Imperialis,'ORG',a sector imperialis,Raptor Imperialis,,raptor imperialis
88,Mark VI Corvus Armour,'PERSON',mark vi corvus armour,Mark VI Corvus Power Armour,,mark vi corvus power armour
82,Narcium,'LOC',narcium,Narthecium,,narthecium
83,a Mark IV  Castraferrum Dreadnought,'PERSON',a mark iv castraferrum dreadnought,Castraferrum Dreadnought,,castraferrum dreadnought
88,the High Lords of Terra,'PERSON',the high lords of terra,High Lord of Terra,,high lord of terra
92,the  Order of the Silent Vow,'ORG',the order of the silent vow,Order of the Silent Vow,,order of the silent vow
86,the  Sisters Repentia,'ORG',the sisters repentia,Sister Repentia,,sister repentia
94,Retributor Squad s,'ORG',retributor squad s,Retributor Squad,,retributor squad
88,Word of Faith,'ORG',word of faith,War of Faith,,war of faith
86,Aeldari Technology,'ORG',aeldari technology,Aeldari Mythology,,aeldari mythology
89,The Fall of the Eldar,'PERSON',the fall of the eldar,Fall of the Eldar,,fall of the eldar
84,the Aspect Shrines,'ORG',the aspect shrines,Aspect Shrine,,aspect shrine
90,Nightshard,'LOC',nightshard,Nightshade,,nightshade
92,Sli tha,'PERSON',sli tha,Slitha,,slitha
82,the  Herald of Slaanesh,'PERSON',the herald of slaanesh,Steed of Slaanesh,,steed of slaanesh
89,Night Scythe s.,'PERSON',night scythe s.,Night Scythe,,night scythe
86,Lyx,'PERSON',lyx,Lynx,,lynx
83,Thorne,'PERSON',thorne,Hornet,,hornet
93,Jetbike Eldar,'ORG',jetbike eldar,Jetbike (Eldar),,jetbike (eldar)
83,aron Knight,'PERSON',aron knight,Dragon Knight,,dragon knight
84,Malan tai s,'PERSON',malan tai s,Malantai,,malantai
91,N kari,'PERSON',n kari,Nkari,,nkari
86,Spear of Starlight,'PERSON',spear of starlight,Spear of Twilight,,spear of twilight
89,Morai Heg,'PERSON',morai heg,Morai-Heg,,morai-heg
92,the  Kabal of the Wraithkind,'ORG',the kabal of the wraithkind,Kabal of the Wraithkind,,kabal of the wraithkind
92,the  Cult of the Flayed Hand,'ORG',the cult of the flayed hand,Cult of the Flayed Hand,,cult of the flayed hand
81,Tyranid Spacecraft,'ORG',tyranid spacecraft,Raider (Spacecraft),,raider (spacecraft)
87,Dark Alliance,'ORG',dark alliance,Dark Lance,,dark lance
82,Eldar   Shuriken Weapons,'ORG',eldar  shuriken weapons,shuriken weapons,,shuriken weapons
84,any Space Marine,'PERSON',any space marine,Company (Space Marine),,company (space marine)
81,Kelmon Firesight s,'PERSON',kelmon firesight s,Kemon Farsight,,kemon farsight
95,Windriders,'NORP',windriders,Windrider,,windrider
83,a Wild Rider s,'PERSON',a wild rider s,Wild Rider,,wild rider
87,the  Eldar Lexicon,'ORG',the eldar lexicon,Eldar Lexicon,,eldar lexicon
84,Witchbane,'PERSON',witchbane,Witchblade,,witchblade
84,the Lords Militant,'ORG',the lords militant,Lord Militant,,lord militant
92,the Order of the Fiery Heart,'ORG',the order of the fiery heart,Order of the Fiery Heart,,order of the fiery heart
86,The Ardent Blade,'PERSON',the ardent blade,Ardent Blade,,ardent blade
83,Purist,'NORP',purist,priest,,priest
81,Promethean  Chapter,'ORG',promethean chapter,Promethean War,,promethean war
95,Immolators,'NORP',immolators,Immolator,,immolator
95,a  Tesseract Labyrinth,'LOC',a tesseract labyrinth,Tesseract Labyrinth,,tesseract labyrinth
87,the  Lord of Flies,'PERSON',the lord of flies,Lord of Flies,,lord of flies
91,God Emperor,'PERSON',god emperor,God-Emperor,,god-emperor
86,The Laughing God,'PERSON',the laughing god,Laughing God,,laughing god
91,the Ecclesiarchal Palace,'ORG',the ecclesiarchal palace,Ecclesiarchal Palace,,ecclesiarchal palace
82,the  Pariah Nexus,'ORG',the pariah nexus,War in the Pariah Nexus,,war in the pariah nexus
95,olt Pistol,'PERSON',olt pistol,Bolt Pistol,,bolt pistol
88,the  Decree Passive,'ORG',the decree passive,Decree Passive,,decree passive
95,Shas O Kais,'PERSON',shas o kais,ShasO Kais,,shaso kais
92,a Dark Crusade,'ORG',a dark crusade,Dark Crusade,,dark crusade
83,Montar,'LOC',montar,Montka,,montka
89,the Ministorum  Priest,'PERSON',the ministorum priest,Ministorum Priest,,ministorum priest
83,Imperial Terran,'NORP',imperial terran,Imperial Titan,,imperial titan
93,Pathfinder Tau,'ORG',pathfinder tau,Pathfinder (Tau),,pathfinder (tau)
89,Steam,'ORG',steam,team,,team
86,the  Greater Good,'ORG',the greater good,Greater Good,,greater good
93,Railguns,'ORG',railguns,Railgun,,railgun
86,the Star Hunters,'ORG',the star hunters,Star Hunters,,star hunters
83,The Storm Walker,'PERSON',the storm walker,Storm Walkers,,storm walkers
85,The Wars for Armageddon,'PERSON',the wars for armageddon,First War for Armageddon,,first war for armageddon
88,Warpborn,'NORP',warpborn,War-Born,,war-born
88,the King in Yellow,'PERSON',the king in yellow,King in Yellow,,king in yellow
83,Scorer,'PERSON',scorer,sorcer,,sorcer
81,Inquisition Ordos,'ORG',inquisition ordos,Inquisitor Lord,,inquisitor lord
96,Untouchables,'ORG',untouchables,Untouchable,,untouchable
82,Data Slate s,'ORG',data slate s,Data-Slate,,data-slate
91,Titan Moon,'LOC',titan moon,Titan (moon),,titan (moon)
88,the Imperial Tithe,'ORG',the imperial tithe,Imperial Tithe,,imperial tithe
88,Valykrie,'PERSON',valykrie,Valkyrie,,valkyrie
93,Tarkh ax,'PERSON',tarkh ax,Tarkhax,,tarkhax
88,T au command,'ORG',t au command,Tau Commander,,tau commander
93,O Shovah,'PERSON',o shovah,OShovah,,oshovah
87,T au Planet,'ORG',t au planet,Tau (Planet),,tau (planet)
82,Rigellian  Imperial Guard,'ORG',rigellian imperial guard,Sergeant (Imperial Guard),,sergeant (imperial guard)
93,Velk Han,'PERSON',velk han,VelkHan,,velkhan
83,Cadian   Imperial Guard,'ORG',cadian  imperial guard,Captain (Imperial Guard),,captain (imperial guard)
85,the Malfian Sub Sector,'LOC',the malfian sub sector,Malfian Sub-sector,,malfian sub-sector
83,a Space Marine,'NORP',a space marine,Space Marine II,,space marine ii
82,Veteran Imperial Guard,'ORG',veteran imperial guard,Lieutenant (Imperial Guard),,lieutenant (imperial guard)
83,Chaos Terminator s,'ORG',chaos terminator s,Chaos Terminator Armour,,chaos terminator armour
83,the Angels of Redemption,'PERSON',the angels of redemption,Age of Redemption,,age of redemption
88,the  Malus Codicium  ,'ORG',the malus codicium,Malus Codicium,,malus codicium
83,a Hive World,'LOC',a hive world,hive worlder,,hive worlder
94,Sub sector Aurelia,'LOC',sub sector aurelia,Sub-sector Aurelia,,sub-sector aurelia
93,Frigates,'PERSON',frigates,frigate,,frigate
88,the   Praetorian of Terra,'PERSON',the  praetorian of terra,Praetorian of Terra,,praetorian of terra
93,Battle Automata,'ORG',battle automata,Battle-Automata,,battle-automata
95,Aaron Dembski Bowden,'PERSON',aaron dembski bowden,Aaron Dembski-Bowden,,aaron dembski-bowden
89,the  Karthago Crusade,'ORG',the karthago crusade,Karthago Crusade,,karthago crusade
81,Imperial Fists 1st Company 1st Company,'ORG',imperial fists 1st company 1st company,Imperial Fists 1st Company,,imperial fists 1st company
82,the Imperial Fists 1st Company,'ORG',the imperial fists 1st company,Imperial Fists 2nd Company,,imperial fists 2nd company
92,Shon’tu,'PERSON',shon’tu,Shontu,,shontu
90,Chainsfists     ,'PERSON',chainsfists,Chainfist,,chainfist
82,the  Iron Cage,'ORG',the iron cage,Iron Cage,,iron cage
95,Devastators,'ORG',devastators,Devastator,,devastator
90,The Crusade of Thunder,'PERSON',the crusade of thunder,Crusade of Thunder,,crusade of thunder
81,Lord of Wrath,'PERSON',lord of wrath,Storm of Wrath,,storm of wrath
86,The  Fist of Dorn,'PERSON',the fist of dorn,Fist of Dorn,,fist of dorn
88,the  Pleasure World  ,'LOC',the pleasure world,Pleasure World,,pleasure world
83,Terran Crusade s,'ORG',terran crusade s,Vrran Crusade,,vrran crusade
91,Standard Template Construct STC STC,'ORG',standard template construct stc stc,Standard Template Construct (STC),,standard template construct (stc)
82,the Apostles of the  Blind,'PERSON',the apostles of the blind,Apostles of the Blind King,,apostles of the blind king
86,The Motive Force,'PERSON',the motive force,Motive Force,,motive force
97,Skitarii Rangers,'NORP',skitarii rangers,Skitarii Ranger,,skitarii ranger
94,Combat Servitor s,'ORG',combat servitor s,Combat Servitor,,combat servitor
82,Arctic Rifles,'ORG',arctic rifles,Arc Rifle,,arc rifle
88,the Refractor Field,'LOC',the refractor field,Refractor Field,,refractor field
90,The Ironstrider Engine,'PERSON',the ironstrider engine,Ironstrider Engine,,ironstrider engine
93,Skitarii Alpha s,'ORG',skitarii alpha s,Skitarii Alpha,,skitarii alpha
90,Hell Forge,'ORG',hell forge,Hell-Forge,,hell-forge
86,the  Civilised World  ,'LOC',the civilised world,Civilised Worlds,,civilised worlds
88,The Wicked Sisters,'ORG',the wicked sisters,Wicked Sisters,,wicked sisters
89,the  Macharian Crusade,'ORG',the macharian crusade,Macharian Crusade,,macharian crusade
87,the Ragged Knight,'PERSON',the ragged knight,Ragged Knight,,ragged knight
92,the Primordial Annihilator,'PERSON',the primordial annihilator,Primordial Annihilator,,primordial annihilator
82,Mission,'ORG',mission,Missionary,,missionary
83,Roboute,'PERSON',roboute,robot,,robot
83,Soul Drinker,'PERSON',soul drinker,Soul Grinder,,soul grinder
92,Needle,'LOC',needle,Needler,,needler
86,The Eversor Assassins,'ORG',the eversor assassins,Eversor Assassin,,eversor assassin
82,the  Cadian  ,'LOC',the cadian,412th Cadian,,412th cadian
89,Shas O Or es Ka,'PERSON',shas o or es ka,ShasO OresKa,,shaso oreska
91,Hell Talon s,'PERSON',hell talon s,Hell Talon,,hell talon
82,Land Speeder s,'ORG',land speeder s,Land Speeder Tempest,,land speeder tempest
92,Accazzar Beta,'PERSON',accazzar beta,Accazzar-Beta,,accazzar-beta
84,Kajor Compliance,'ORG',kajor compliance,Dark Compliance,,dark compliance
91,the Black Crusades,'ORG',the black crusades,5th Black Crusade,,5th black crusade
87,the  Elysia Sector,'LOC',the elysia sector,Elysia Sector,,elysia sector
87,The Troupe Master,'PERSON',the troupe master,Troupe Master,,troupe master
81,Ecclesiarchal Writ,'ORG',ecclesiarchal writ,Ecclesiarchy priest,,ecclesiarchy priest
91,Zhao Arkhad,'PERSON',zhao arkhad,Zhao-Arkhad,,zhao-arkhad
85,The Great Sleep,'PERSON',the great sleep,Great Sleep,,great sleep
82,Coreward,'LOC',coreward,coreworld,,coreworld
96,Fringeworlds,'LOC',fringeworlds,fringeworld,,fringeworld
81,a Destroyer Lord,'PERSON',a destroyer lord,Necron Destroyer Lord,,necron destroyer lord
94,A Gauntlet of Fire,'PERSON',a gauntlet of fire,Gauntlet of Fire,,gauntlet of fire
81,Nightshroud,'LOC',nightshroud,Nightmare Shroud,,nightmare shroud
87,Amaranthines,'NORP',amaranthines,amaranthite,,amaranthite
82,Shadow Peak,'LOC',shadow peak,Shadow Ankh,,shadow ankh
81,Halo of Darkness,'ORG',halo of darkness,Veil of Darkness,,veil of darkness
89,The Vralekth Dynasty,'ORG',the vralekth dynasty,Vralekth Dynasty,,vralekth dynasty
88,the Mephrit Dynasty,'ORG',the mephrit dynasty,Mephrit Dynasty,,mephrit dynasty
90,the Charnovokh Dynasty,'ORG',the charnovokh dynasty,Charnovokh Dynasty,,charnovokh dynasty
94,Canoptek Spyder s,'PERSON',canoptek spyder s,Canoptek Spyder,,canoptek spyder
86,the  Necron Destroyers,'ORG',the necron destroyers,Necron Destroyer,,necron destroyer
85,the Silent King,'PERSON',the silent king,Silent King,,silent king
91,Flayed One s,'ORG',flayed one s,Flayed One,,flayed one
93,a Destroyer Lord,'PERSON',a destroyer lord,Destroyer Lord,,destroyer lord
95,C tan Shard,'PERSON',c tan shard,Ctan Shard,,ctan shard
81,Land Raider s,'ORG',land raider s,Land Raider Proteus,,land raider proteus
97,M Khand Secundus,'LOC',m khand secundus,MKhand Secundus,,mkhand secundus
87,the  Armoury World  ,'LOC',the armoury world,Armoury World,,armoury world
92,Combi Bolter,'PERSON',combi bolter,Combi-Bolter,,combi-bolter
95,Hellhounds,'ORG',hellhounds,Hellhound,,hellhound
92,M Khand,'ORG',m khand,MKhand,,mkhand
89,Legion Apothecarion,'ORG',legion apothecarion,Legion Apothecary,,legion apothecary
86,the Progenoid Glands,'LOC',the progenoid glands,Progenoid Gland,,progenoid gland
82,Deathwatch Chapter,'ORG',deathwatch chapter,Deathwatch Apothecary,,deathwatch apothecary
84,Damantyne,'LOC',damantyne,diamantine,,diamantine
92,Servo Harness,'PERSON',servo harness,Servo-Harness,,servo-harness
89,the Sanguinary Priest,'PERSON',the sanguinary priest,Sanguinary Priest,,sanguinary priest
83,the Black Rage,'ORG',the black rage,Black Rage,,black rage
81,the   Canis Helix,'LOC',the  canis helix,Canis Helix,,canis helix
85,ron Overlord,'PERSON',ron overlord,Dagon Overlord,,dagon overlord
85,the  Iron Collar,'LOC',the iron collar,Iron Collar,,iron collar
85,Battle Barge s,'ORG',battle barge s,Battle-Barge,,battle-barge
93,the  Scintillan 84th Grenadiers,'ORG',the scintillan 84th grenadiers,Scintillan 84th Grenadiers,,scintillan 84th grenadiers
97,Rapid Strike Vessels,'ORG',rapid strike vessels,rapid strike vessel,,rapid strike vessel
94,T au Navy,'ORG',t au navy,Tau Navy,,tau navy
95,Kir shasvre,'PERSON',kir shasvre,Kirshasvre,,kirshasvre
82,Meridian Governor,'ORG',meridian governor,Imperial Governor,,imperial governor
85,the Helican Sub Sector,'LOC',the helican sub sector,Helican Sub-sector,,helican sub-sector
82,Battle of Tarsus,'PERSON',battle of tarsus,Battle of Catallus,,battle of catallus
82,Red Stars,'ORG',red stars,Red Tear,,red tear
91,the  Shadow of the Emperor,'PERSON',the shadow of the emperor,Shadow of the Emperor,,shadow of the emperor
83,the   Terminus Est,'LOC',the  terminus est,Terminus Est,,terminus est
86,The World Engine,'ORG',the world engine,World Engine,,world engine
82,the  Night Hag,'PERSON',the night hag,Night Hag,,night hag
88,The Imperial Hawks,'ORG',the imperial hawks,Imperial Hawks,,imperial hawks
95,1st Claw Night Lords,'ORG',1st claw night lords,1st Claw (Night Lords),,1st claw (night lords)
91,M Shen,'PERSON',m shen,MShen,,mshen
94,a Forbidden World,'LOC',a forbidden world,Forbidden World,,forbidden world
88,Mastercraft,'ORG',mastercraft,master-crafted,,master-crafted
93,Stygia Aquilon,'PERSON',stygia aquilon,Stygia-Aquilon,,stygia-aquilon
93,the Inquisitorial Representative,'PERSON',the inquisitorial representative,Inquisitorial Representative,,inquisitorial representative
86,Cursed Founding,'ORG',cursed founding,Cursed 21st Founding,,cursed 21st founding
81,Angelica Mortis,'PERSON',angelica mortis,Mythos Angelica Mortis,,mythos angelica mortis
89,the Black Crusades,'ORG',the black crusades,12th Black Crusade,,12th black crusade
88,the Baran Siege Masters,'ORG',the baran siege masters,Baran Siegemasters,,baran siegemasters
84,Battlefleet Gothic s,'ORG',battlefleet gothic s,Battlefleet Gothic (Game),,battlefleet gothic (game)
94,Necromunda Game,'ORG',necromunda game,Necromunda (Game),,necromunda (game)
81,Arco Flagellation,'PERSON',arco flagellation,Arco-Flagellant,,arco-flagellant
82,Deathwatch Watch,'ORG',deathwatch watch,Deathwatch Watch Master,,deathwatch watch master
83,the Throne Agents,'ORG',the throne agents,Throne Agent,,throne agent
88,the Great Devourer,'ORG',the great devourer,Great Devourer,,great devourer
87,the Galactic Core,'LOC',the galactic core,galactic core,,galactic core
83,the  Long Vigil,'ORG',the long vigil,Long Vigil,,long vigil
83,Venator Kill,'ORG',venator kill,Venator Kill-team,,venator kill-team
96,a  Deathwatch Black Shield,'ORG',a deathwatch black shield,Deathwatch Black Shield,,deathwatch black shield
86,Ur Ghul,'PERSON',ur ghul,Ur-Ghul,,ur-ghul
88,Shaa dom,'LOC',shaa dom,Shaa-dom,,shaa-dom
88,the  Vensine Sector,'LOC',the vensine sector,Vensine Sector,,vensine sector
81,Aquila Kill,'ORG',aquila kill,Aquila Kill-team,,aquila kill-team
91,the  Cult of the Four Armed Emperor,'ORG',the cult of the four armed emperor,Cult of the Four-Armed Emperor,,cult of the four-armed emperor
81,the Destroyer Squad,'ORG',the destroyer squad,The Destroyer,,the destroyer
89,the  Blessed Wyrmlings,'ORG',the blessed wyrmlings,Blessed Wyrmlings,,blessed wyrmlings
82,the  Master,'PERSON',the master,watch master,,watch master
81,Fortis Kill,'ORG',fortis kill,Fortis Kill-team,,fortis kill-team
84,Purgatus Kill,'ORG',purgatus kill,Purgatus Kill-team,,purgatus kill-team
87,the  Bastion World,'LOC',the bastion world,Bastion World,,bastion world
83,Malleus Kill,'PERSON',malleus kill,Malleus Kill-team,,malleus kill-team
86,the  Kadus Sector,'LOC',the kadus sector,Kadus Sector,,kadus sector
94,KV128 Stormsurge s,'ORG',kv128 stormsurge s,KV128 Stormsurge,,kv128 stormsurge
83,Space Marine Biker,'ORG',space marine biker,Space Marine Bike Squad,,space marine bike squad
89,Repulsor s,'ORG',repulsor s,Repulsor,,repulsor
86,Fortress Prescience,'ORG',fortress prescience,Watch Fortress Prescience,,watch fortress prescience
95,Agathon Deathwatch,'PERSON',agathon deathwatch,Agathon (Deathwatch),,agathon (deathwatch)
83,Proteus Kill,'ORG',proteus kill,Proteus Kill-team,,proteus kill-team
84,Spectrus Kill,'ORG',spectrus kill,Spectrus Kill-team,,spectrus kill-team
83,Storm Seers,'ORG',storm seers,Storm Speeder,,storm speeder
84,Kill Team,'ORG',kill team,kill-teams,,kill-teams
85,Indomitor Kill,'ORG',indomitor kill,Indomitor Kill-team,,indomitor kill-team
85,Dominatus Kill,'ORG',dominatus kill,Dominatus Kill-team,,dominatus kill-team
83,Zarak,'PERSON',zarak,Zarabek,,zarabek
