ratio,Spacy_entity,Spacy_tag,Spacy_clean_entities,Wiki_entity,Wiki_tag,Wiki_clean_entities
86,Burna Boy z.,'PERSON',burna boy z.,Burna Boy,,burna boy
90,Burna Boy z,'ORG',burna boy z,Burna Boy,,burna boy
89,Burnaboyz,'PERSON',burnaboyz,Burna Boy,,burna boy
90,a Burna Boy,'PERSON',a burna boy,Burna Boy,,burna boy
88,Warbikerz,'ORG',warbikerz,Warbike,,warbike
88,Warbikers,'ORG',warbikers,Warbike,,warbike
86,Black Horns,'PERSON',black horns,Black Orcs,,black orcs
93,Deffguns,'PERSON',deffguns,Deffgun,,deffgun
81,Space Marine Chapters,'ORG',space marine chapters,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
81,Space Marine   Chapter s,'ORG',space marine  chapter s,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
87,Space Marine Chapter Homeworld Chapter,'ORG',space marine chapter homeworld chapter,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
83,The  Space Marine Chapter Homeworld Chapter s,'ORG',the space marine chapter homeworld chapter s,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
87,Space Marine Chapter Homeworld Chapter s,'ORG',space marine chapter homeworld chapter s,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
83,Space Marine Chapter s,'ORG',space marine chapter s,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
89,Space Marine Chapter Homeworlds Chapter,'ORG',space marine chapter homeworlds chapter,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
87,Chapter  Space Marine Chapter Homeworld,'ORG',chapter space marine chapter homeworld,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
84,Boilerboyz,'PERSON',boilerboyz,Bikerboyz,,bikerboyz
94,Wartrakks,'PERSON',wartrakks,Wartrakk,,wartrakk
83,Blitza Bommer z.,'PERSON',blitza bommer z.,Blitza-Bommer,,blitza-bommer
82,Big Gun z.,'ORG',big gun z.,Big Gun,,big gun
86,Escort s,'ORG',escort s,escort,,escort
86,The Emperor s Spears,'PERSON',the emperor s spears,Emperors Spears,,emperors spears
94,the  Lord Commander of the Imperium,'PERSON',the lord commander of the imperium,lord commander of the Imperium,,lord commander of the imperium
83,Imperial Eagle,'ORG',imperial eagle,Imperial Regent,,imperial regent
91,Imperial Regiments,'ORG',imperial regiments,Imperial Regent,,imperial regent
81,Imperial Army Regiment,'ORG',imperial army regiment,Imperial Regent,,imperial regent
83,Imperial Krieg,'ORG',imperial krieg,Imperial Regent,,imperial regent
85,Imperial Segmentum,'ORG',imperial segmentum,Imperial Regent,,imperial regent
89,Gene Seed,'PERSON',gene seed,gene-seed,,gene-seed
87,the  Emperor s Children,'ORG',the emperor s children,Emperors Children,,emperors children
81,Emperor s Children Legion,'ORG',emperor s children legion,Emperors Children,,emperors children
83,the Emperor s Children s,'ORG',the emperor s children s,Emperors Children,,emperors children
87,the Emperor’s Children,'ORG',the emperor’s children,Emperors Children,,emperors children
97,Emperor s Children,'ORG',emperor s children,Emperors Children,,emperors children
87,the Emperor`s Children,'ORG',the emperor`s children,Emperors Children,,emperors children
95,Captain Space Marine,'ORG',captain space marine,Captain (Space Marine),,captain (space marine)
90,ptain Space Marine,'PERSON',ptain space marine,Captain (Space Marine),,captain (space marine)
81,rk X Gravis Power Armour,'PERSON',rk x gravis power armour,Mark X Tacticus Power Armour,,mark x tacticus power armour
96,rk X Gravis Power Armour,'PERSON',rk x gravis power armour,Mark X Gravis Power Armour,,mark x gravis power armour
83,the Tactical Marine,'PERSON',the tactical marine,Legion Tactical Marine,,legion tactical marine
81,the Tactical Marines,'ORG',the tactical marines,Legion Tactical Marine,,legion tactical marine
82,a Tactical Marine,'PERSON',a tactical marine,Legion Tactical Marine,,legion tactical marine
88,the  Old One Hundred,'ORG',the old one hundred,Old One Hundred,,old one hundred
81,Legion  Chapter,'ORG',legion chapter,Legion Master,,legion master
95,Stormbirds,'NORP',stormbirds,Stormbird,,stormbird
95,Praetor Space Marine,'ORG',praetor space marine,Praetor (Space Marine),,praetor (space marine)
84,pre Space Marine,'NORP',pre space marine,Praetor (Space Marine),,praetor (space marine)
84,Traitor Space Marines,'PERSON',traitor space marines,Praetor (Space Marine),,praetor (space marine)
81,Primogenitor  Space Marine   ,'ORG',primogenitor space marine,Praetor (Space Marine),,praetor (space marine)
85,the Osiran Psybrids,'ORG',the osiran psybrids,Osiran Psybrid,,osiran psybrid
88,The Chief Librarian,'PERSON',the chief librarian,Chief Librarian,,chief librarian
92,Macrocannons,'PERSON',macrocannons,Macro-cannon,,macro-cannon
97,Butcher s Nails,'ORG',butcher s nails,Butchers Nails,,butchers nails
85,the  Butcher s Nails,'PERSON',the butcher s nails,Butchers Nails,,butchers nails
96,Lion El Jonson,'PERSON',lion el jonson,Lion ElJonson,,lion eljonson
93,Lion El Johnson,'PERSON',lion el johnson,Lion ElJonson,,lion eljonson
90,Lion El Jonson  s,'PERSON',lion el jonson s,Lion ElJonson,,lion eljonson
96,Lion El’Jonson,'PERSON',lion el’jonson,Lion ElJonson,,lion eljonson
89,Lionel Johnson,'PERSON',lionel johnson,Lion ElJonson,,lion eljonson
87,The  Golden Throne,'PERSON',the golden throne,Golden Throne,,golden throne
91,Cyclonic Torpedo es,'PERSON',cyclonic torpedo es,Cyclonic Torpedo,,cyclonic torpedo
84,the Brides of the Emperor,'PERSON',the brides of the emperor,Pride of the Emperor,,pride of the emperor
85,Voice Of the Emperor,'PERSON',voice of the emperor,Pride of the Emperor,,pride of the emperor
92,Rise of the  Emperor,'PERSON',rise of the emperor,Pride of the Emperor,,pride of the emperor
82,Gaze of the Emperor,'PERSON',gaze of the emperor,Pride of the Emperor,,pride of the emperor
83,s of the Emperor,'ORG',s of the emperor,Pride of the Emperor,,pride of the emperor
82,Adamant,'LOC',adamant,adamantium,,adamantium
93,Strike Cruiser s,'ORG',strike cruiser s,Strike Cruiser,,strike cruiser
89,M kar,'PERSON',m kar,Mkar,,mkar
89,Omkar,'PERSON',omkar,Mkar,,mkar
86,kar,'PERSON',kar,Mkar,,mkar
87,Armour of Hatred,'PERSON',armour of hatred,Armour of Fate,,armour of fate
88,the Lord of Change,'PERSON',the lord of change,Lord of Change,,lord of change
93,a Lord of Change,'PERSON',a lord of change,Lord of Change,,lord of change
85,the  Lords of Change,'PERSON',the lords of change,Lord of Change,,lord of change
82,the Lord of Change s,'PERSON',the lord of change s,Lord of Change,,lord of change
85,the Lord of Change.,'PERSON',the lord of change.,Lord of Change,,lord of change
90,the High Lords of Terra,'PERSON',the high lords of terra,High Lords of Terra,,high lords of terra
86,the Lords of Terra,'PERSON',the lords of terra,High Lords of Terra,,high lords of terra
98,Battle of Lion s Gate,'PERSON',battle of lion s gate,Battle of Lions Gate,,battle of lions gate
92,Zar Quaesitor,'PERSON',zar quaesitor,Zar-Quaesitor,,zar-quaesitor
89,the Great Unclean One,'PERSON',the great unclean one,Great Unclean One,,great unclean one
87,This Great Unclean One,'PERSON',this great unclean one,Great Unclean One,,great unclean one
87,Great Unclean,'PERSON',great unclean,Great Unclean One,,great unclean one
94,a Great Unclean One,'PERSON',a great unclean one,Great Unclean One,,great unclean one
85,Every Great Unclean One,'PERSON',every great unclean one,Great Unclean One,,great unclean one
81,the Unclean One,'PERSON',the unclean one,Great Unclean One,,great unclean one
94,Great Unclean One s,'ORG',great unclean one s,Great Unclean One,,great unclean one
87,the Great Unclean Ones,'PERSON',the great unclean ones,Great Unclean One,,great unclean one
85,Some Great Unclean Ones,'PERSON',some great unclean ones,Great Unclean One,,great unclean one
92,Ku gath,'PERSON',ku gath,Kugath,,kugath
84,the   Furious Abyss,'LOC',the  furious abyss,Furious Abyss,,furious abyss
87,the  Furious Abyss,'LOC',the furious abyss,Furious Abyss,,furious abyss
88,the Auretian Technocracy,'ORG',the auretian technocracy,Auretian Techocracy,,auretian techocracy
90,the  Auretian Techocracy,'ORG',the auretian techocracy,Auretian Techocracy,,auretian techocracy
85,The  Fabricator General,'PERSON',the fabricator general,Fabricator-General,,fabricator-general
81,the Fabricator General s,'PERSON',the fabricator general s,Fabricator-General,,fabricator-general
82,Kelbor Hal s,'PERSON',kelbor hal s,Kelbor-Hal,,kelbor-hal
88,the Calth Atrocity,'ORG',the calth atrocity,Calth Atrocity,,calth atrocity
82,Calth Atrocity Calth,'ORG',calth atrocity calth,Calth Atrocity,,calth atrocity
90,Agri World,'LOC',agri world,Agri-world,,agri-world
86,Agri Worlds,'LOC',agri worlds,Agri-world,,agri-world
82,Agri World s,'ORG',agri world s,Agri-world,,agri-world
83,Underworld,'LOC',underworld,Underworld War,,underworld war
86,the Nova Terra Interregnurn,'ORG',the nova terra interregnurn,Nova Terra Interregnum,,nova terra interregnum
92,the Nova Terra Interregnum,'ORG',the nova terra interregnum,Nova Terra Interregnum,,nova terra interregnum
89,the  Imperial Calendar,'ORG',the imperial calendar,Imperial Calendar,,imperial calendar
89,The Jorun Retaliation,'ORG',the jorun retaliation,Jorun Retaliation,,jorun retaliation
96,Tyrannic War,'NORP',tyrannic war,Tyrannic Wars,,tyrannic wars
95,Sergeant Space Marine,'ORG',sergeant space marine,Sergeant (Space Marine),,sergeant (space marine)
82,ant  Space Marine,'ORG',ant space marine,Sergeant (Space Marine),,sergeant (space marine)
97,M kar the Reborn,'PERSON',m kar the reborn,Mkar the Reborn,,mkar the reborn
81,M kar M kar the Reborn,'PERSON',m kar m kar the reborn,Mkar the Reborn,,mkar the reborn
83,M kar the Thrice Born,'PERSON',m kar the thrice born,Mkar the Reborn,,mkar the reborn
85,the Flayed Ones,'PERSON',the flayed ones,Flayed Ones,,flayed ones
96,Flayed One s,'ORG',flayed one s,Flayed Ones,,flayed ones
81,The Spheres of Expansion,'PERSON',the spheres of expansion,Fourth Sphere Expansion,,fourth sphere expansion
86,Agri World,'LOC',agri world,Agri-worlds,,agri-worlds
91,Agri Worlds,'LOC',agri worlds,Agri-worlds,,agri-worlds
87,Agri World s,'ORG',agri world s,Agri-worlds,,agri-worlds
88,the   Principia Bellicosa,'ORG',the  principia bellicosa,Principia Bellicosa,,principia bellicosa
88,the  Principia Belicosa,'ORG',the principia belicosa,Principia Bellicosa,,principia bellicosa
90,the  Principia Bellicosa,'ORG',the principia bellicosa,Principia Bellicosa,,principia bellicosa
86,the   Principia Belicosa,'ORG',the  principia belicosa,Principia Bellicosa,,principia bellicosa
86,pre   Principia Belicosa,'NORP',pre  principia belicosa,Principia Bellicosa,,principia bellicosa
84,Phosphoenix,'PERSON',phosphoenix,Phosphex,,phosphex
89,Fulmentarus Terminator Strike Squad,'ORG',fulmentarus terminator strike squad,Fulmentarus Terminator Squad,,fulmentarus terminator squad
93,the  Fulmentarus Terminator Squad,'ORG',the fulmentarus terminator squad,Fulmentarus Terminator Squad,,fulmentarus terminator squad
82,The Fulmentarus Terminator Strike Squads,'ORG',the fulmentarus terminator strike squads,Fulmentarus Terminator Squad,,fulmentarus terminator squad
89,Predator s,'ORG',predator s,Predator,,predator
90,Whirlwind s,'ORG',whirlwind s,Whirlwind,,whirlwind
83,Multi Melta s,'ORG',multi melta s,Multi-melta,,multi-melta
81,Wargear  ificer Armour,'PERSON',wargear ificer armour,Artificer Armour,,artificer armour
89,the  Chapter Champion,'PERSON',the chapter champion,Chapter Champion,,chapter champion
90,the  Master of the Forge,'PERSON',the master of the forge,Master of the Forge,,master of the forge
81,Master of the Rock,'ORG',master of the rock,Master of the Forge,,master of the forge
95,a Master of the Forge,'PERSON',a master of the forge,Master of the Forge,,master of the forge
84,Master of the Gates,'ORG',master of the gates,Master of the Forge,,master of the forge
87,Master of the Charge,'ORG',master of the charge,Master of the Forge,,master of the forge
83,Master of the Vox,'PERSON',master of the vox,Master of the Forge,,master of the forge
82,Masters of the Rites,'ORG',masters of the rites,Master of the Forge,,master of the forge
91,Vindicator s,'ORG',vindicator s,Vindicator,,vindicator
84,Vindicare,'NORP',vindicare,Vindicator,,vindicator
84,Vindicant  ,'ORG',vindicant,Vindicator,,vindicator
92,Assault Bike s,'ORG',assault bike s,Assault Bike,,assault bike
92,Attack Bike s,'ORG',attack bike s,Attack Bike,,attack bike
91,Lieutenant s,'ORG',lieutenant s,Lieutenant,,lieutenant
83,2  Lieutenant s,'ORG',2 lieutenant s,Lieutenant,,lieutenant
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 5th Company,,ultramarines 5th company
88,the  Ultramarines 9th Company,'ORG',the ultramarines 9th company,Ultramarines 5th Company,,ultramarines 5th company
81,Ultramarines 9 sup th sup Company,'ORG',ultramarines 9 sup th sup company,Ultramarines 5th Company,,ultramarines 5th company
81,The  Ultramarines 2nd Company,'ORG',the ultramarines 2nd company,Ultramarines 5th Company,,ultramarines 5th company
81,the Ultramarines 3rd Company,'ORG',the ultramarines 3rd company,Ultramarines 5th Company,,ultramarines 5th company
81,Ultramarines 4 sup th sup Company,'ORG',ultramarines 4 sup th sup company,Ultramarines 5th Company,,ultramarines 5th company
88,the  Ultramarines 4th Company,'ORG',the ultramarines 4th company,Ultramarines 5th Company,,ultramarines 5th company
92,the Ultramarines 5th Company,'ORG',the ultramarines 5th company,Ultramarines 5th Company,,ultramarines 5th company
83,the  Ultramarines  21st Company,'ORG',the ultramarines 21st company,Ultramarines 5th Company,,ultramarines 5th company
84,Ultramarines of the 2nd Company,'ORG',ultramarines of the 2nd company,Ultramarines 5th Company,,ultramarines 5th company
94,Ultramarines  34th Company,'ORG',ultramarines 34th company,Ultramarines 5th Company,,ultramarines 5th company
85,the  Ultramarines 1st Company,'ORG',the ultramarines 1st company,Ultramarines 5th Company,,ultramarines 5th company
82,Ultramarines Aegida Company,'ORG',ultramarines aegida company,Ultramarines 5th Company,,ultramarines 5th company
84,the\xa0Ultramarines 4th Company,'ORG',the\xa0ultramarines 4th company,Ultramarines 5th Company,,ultramarines 5th company
84,Ultramarines 2nd Company 2,'ORG',ultramarines 2nd company 2,Ultramarines 5th Company,,ultramarines 5th company
84,ramarines  1st Company,'ORG',ramarines 1st company,Ultramarines 5th Company,,ultramarines 5th company
88,the Ultramarines 8th Company,'ORG',the ultramarines 8th company,Ultramarines 5th Company,,ultramarines 5th company
88,the Ultramarines 7th Company,'ORG',the ultramarines 7th company,Ultramarines 5th Company,,ultramarines 5th company
85,Ultramarines 10th Company 10th,'ORG',ultramarines 10th company 10th,Ultramarines 5th Company,,ultramarines 5th company
81,Ultramarines 3rd Company 3rd,'ORG',ultramarines 3rd company 3rd,Ultramarines 5th Company,,ultramarines 5th company
85,the Ultramarines 4th Company s,'ORG',the ultramarines 4th company s,Ultramarines 5th Company,,ultramarines 5th company
82,the  Novamarines  5th Company,'ORG',the novamarines 5th company,Ultramarines 5th Company,,ultramarines 5th company
88,the Ultramarines 6th Company,'ORG',the ultramarines 6th company,Ultramarines 5th Company,,ultramarines 5th company
84,Ultramarines 3rd Company s,'ORG',ultramarines 3rd company s,Ultramarines 5th Company,,ultramarines 5th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 6th Company,,ultramarines 6th company
88,the  Ultramarines 9th Company,'ORG',the ultramarines 9th company,Ultramarines 6th Company,,ultramarines 6th company
81,Ultramarines 9 sup th sup Company,'ORG',ultramarines 9 sup th sup company,Ultramarines 6th Company,,ultramarines 6th company
81,The  Ultramarines 2nd Company,'ORG',the ultramarines 2nd company,Ultramarines 6th Company,,ultramarines 6th company
81,the Ultramarines 3rd Company,'ORG',the ultramarines 3rd company,Ultramarines 6th Company,,ultramarines 6th company
81,Ultramarines 4 sup th sup Company,'ORG',ultramarines 4 sup th sup company,Ultramarines 6th Company,,ultramarines 6th company
88,the  Ultramarines 4th Company,'ORG',the ultramarines 4th company,Ultramarines 6th Company,,ultramarines 6th company
88,the Ultramarines 5th Company,'ORG',the ultramarines 5th company,Ultramarines 6th Company,,ultramarines 6th company
83,the  Ultramarines  21st Company,'ORG',the ultramarines 21st company,Ultramarines 6th Company,,ultramarines 6th company
84,Ultramarines of the 2nd Company,'ORG',ultramarines of the 2nd company,Ultramarines 6th Company,,ultramarines 6th company
94,Ultramarines  34th Company,'ORG',ultramarines 34th company,Ultramarines 6th Company,,ultramarines 6th company
85,the  Ultramarines 1st Company,'ORG',the ultramarines 1st company,Ultramarines 6th Company,,ultramarines 6th company
82,Ultramarines Aegida Company,'ORG',ultramarines aegida company,Ultramarines 6th Company,,ultramarines 6th company
84,the\xa0Ultramarines 4th Company,'ORG',the\xa0ultramarines 4th company,Ultramarines 6th Company,,ultramarines 6th company
84,Ultramarines 2nd Company 2,'ORG',ultramarines 2nd company 2,Ultramarines 6th Company,,ultramarines 6th company
84,ramarines  1st Company,'ORG',ramarines 1st company,Ultramarines 6th Company,,ultramarines 6th company
88,the Ultramarines 8th Company,'ORG',the ultramarines 8th company,Ultramarines 6th Company,,ultramarines 6th company
88,the Ultramarines 7th Company,'ORG',the ultramarines 7th company,Ultramarines 6th Company,,ultramarines 6th company
85,Ultramarines 10th Company 10th,'ORG',ultramarines 10th company 10th,Ultramarines 6th Company,,ultramarines 6th company
81,Ultramarines 3rd Company 3rd,'ORG',ultramarines 3rd company 3rd,Ultramarines 6th Company,,ultramarines 6th company
85,the Ultramarines 4th Company s,'ORG',the ultramarines 4th company s,Ultramarines 6th Company,,ultramarines 6th company
92,the Ultramarines 6th Company,'ORG',the ultramarines 6th company,Ultramarines 6th Company,,ultramarines 6th company
84,Ultramarines 3rd Company s,'ORG',ultramarines 3rd company s,Ultramarines 6th Company,,ultramarines 6th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 7th Company,,ultramarines 7th company
88,the  Ultramarines 9th Company,'ORG',the ultramarines 9th company,Ultramarines 7th Company,,ultramarines 7th company
81,Ultramarines 9 sup th sup Company,'ORG',ultramarines 9 sup th sup company,Ultramarines 7th Company,,ultramarines 7th company
81,The  Ultramarines 2nd Company,'ORG',the ultramarines 2nd company,Ultramarines 7th Company,,ultramarines 7th company
81,the Ultramarines 3rd Company,'ORG',the ultramarines 3rd company,Ultramarines 7th Company,,ultramarines 7th company
81,Ultramarines 4 sup th sup Company,'ORG',ultramarines 4 sup th sup company,Ultramarines 7th Company,,ultramarines 7th company
88,the  Ultramarines 4th Company,'ORG',the ultramarines 4th company,Ultramarines 7th Company,,ultramarines 7th company
88,the Ultramarines 5th Company,'ORG',the ultramarines 5th company,Ultramarines 7th Company,,ultramarines 7th company
83,the  Ultramarines  21st Company,'ORG',the ultramarines 21st company,Ultramarines 7th Company,,ultramarines 7th company
84,Ultramarines of the 2nd Company,'ORG',ultramarines of the 2nd company,Ultramarines 7th Company,,ultramarines 7th company
94,Ultramarines  34th Company,'ORG',ultramarines 34th company,Ultramarines 7th Company,,ultramarines 7th company
85,the  Ultramarines 1st Company,'ORG',the ultramarines 1st company,Ultramarines 7th Company,,ultramarines 7th company
82,Ultramarines Aegida Company,'ORG',ultramarines aegida company,Ultramarines 7th Company,,ultramarines 7th company
84,the\xa0Ultramarines 4th Company,'ORG',the\xa0ultramarines 4th company,Ultramarines 7th Company,,ultramarines 7th company
84,Ultramarines 2nd Company 2,'ORG',ultramarines 2nd company 2,Ultramarines 7th Company,,ultramarines 7th company
84,ramarines  1st Company,'ORG',ramarines 1st company,Ultramarines 7th Company,,ultramarines 7th company
88,the Ultramarines 8th Company,'ORG',the ultramarines 8th company,Ultramarines 7th Company,,ultramarines 7th company
92,the Ultramarines 7th Company,'ORG',the ultramarines 7th company,Ultramarines 7th Company,,ultramarines 7th company
85,Ultramarines 10th Company 10th,'ORG',ultramarines 10th company 10th,Ultramarines 7th Company,,ultramarines 7th company
81,Ultramarines 3rd Company 3rd,'ORG',ultramarines 3rd company 3rd,Ultramarines 7th Company,,ultramarines 7th company
85,the Ultramarines 4th Company s,'ORG',the ultramarines 4th company s,Ultramarines 7th Company,,ultramarines 7th company
88,the Ultramarines 6th Company,'ORG',the ultramarines 6th company,Ultramarines 7th Company,,ultramarines 7th company
84,Ultramarines 3rd Company s,'ORG',ultramarines 3rd company s,Ultramarines 7th Company,,ultramarines 7th company
83,Ultramarines Companies,'ORG',ultramarines companies,Ultramarines 9th Company,,ultramarines 9th company
92,the  Ultramarines 9th Company,'ORG',the ultramarines 9th company,Ultramarines 9th Company,,ultramarines 9th company
84,Ultramarines 9 sup th sup Company,'ORG',ultramarines 9 sup th sup company,Ultramarines 9th Company,,ultramarines 9th company
81,The  Ultramarines 2nd Company,'ORG',the ultramarines 2nd company,Ultramarines 9th Company,,ultramarines 9th company
81,the Ultramarines 3rd Company,'ORG',the ultramarines 3rd company,Ultramarines 9th Company,,ultramarines 9th company
81,Ultramarines 4 sup th sup Company,'ORG',ultramarines 4 sup th sup company,Ultramarines 9th Company,,ultramarines 9th company
88,the  Ultramarines 4th Company,'ORG',the ultramarines 4th company,Ultramarines 9th Company,,ultramarines 9th company
88,the Ultramarines 5th Company,'ORG',the ultramarines 5th company,Ultramarines 9th Company,,ultramarines 9th company
83,the  Ultramarines  21st Company,'ORG',the ultramarines 21st company,Ultramarines 9th Company,,ultramarines 9th company
84,Ultramarines of the 2nd Company,'ORG',ultramarines of the 2nd company,Ultramarines 9th Company,,ultramarines 9th company
94,Ultramarines  34th Company,'ORG',ultramarines 34th company,Ultramarines 9th Company,,ultramarines 9th company
85,the  Ultramarines 1st Company,'ORG',the ultramarines 1st company,Ultramarines 9th Company,,ultramarines 9th company
82,Ultramarines Aegida Company,'ORG',ultramarines aegida company,Ultramarines 9th Company,,ultramarines 9th company
84,the\xa0Ultramarines 4th Company,'ORG',the\xa0ultramarines 4th company,Ultramarines 9th Company,,ultramarines 9th company
84,Ultramarines 2nd Company 2,'ORG',ultramarines 2nd company 2,Ultramarines 9th Company,,ultramarines 9th company
84,ramarines  1st Company,'ORG',ramarines 1st company,Ultramarines 9th Company,,ultramarines 9th company
88,the Ultramarines 8th Company,'ORG',the ultramarines 8th company,Ultramarines 9th Company,,ultramarines 9th company
88,the Ultramarines 7th Company,'ORG',the ultramarines 7th company,Ultramarines 9th Company,,ultramarines 9th company
85,Ultramarines 10th Company 10th,'ORG',ultramarines 10th company 10th,Ultramarines 9th Company,,ultramarines 9th company
81,Ultramarines 3rd Company 3rd,'ORG',ultramarines 3rd company 3rd,Ultramarines 9th Company,,ultramarines 9th company
85,the Ultramarines 4th Company s,'ORG',the ultramarines 4th company s,Ultramarines 9th Company,,ultramarines 9th company
88,the Ultramarines 6th Company,'ORG',the ultramarines 6th company,Ultramarines 9th Company,,ultramarines 9th company
84,Ultramarines 3rd Company s,'ORG',ultramarines 3rd company s,Ultramarines 9th Company,,ultramarines 9th company
95,Battleships,'ORG',battleships,Battleship,,battleship
81,the First Founding,'ORG',the first founding,Third Founding,,third founding
81,the  Knights Errant,'ORG',the knights errant,Knights-Errant,,knights-errant
90,Knights Errants,'ORG',knights errants,Knights-Errant,,knights-errant
87,Knights Errant s,'ORG',knights errant s,Knights-Errant,,knights-errant
83,a Knight Errant,'PERSON',a knight errant,Knights-Errant,,knights-errant
89,the Progenoid Glands,'LOC',the progenoid glands,Progenoid Glands,,progenoid glands
85,Any Legion Contemptor Pattern Dreadnought,'ORG',any legion contemptor pattern dreadnought,Contemptor Pattern Dreadnought,,contemptor pattern dreadnought
89,the Contemtor Pattern Dreadnoghts,'ORG',the contemtor pattern dreadnoghts,Contemptor Pattern Dreadnought,,contemptor pattern dreadnought
97,a  Contemptor Pattern Dreadnought,'ORG',a contemptor pattern dreadnought,Contemptor Pattern Dreadnought,,contemptor pattern dreadnought
