Spacy_entity,Spacy_tag,clean_entities,Wiki_entity,Wiki_tag
Khorne,'PERSON',khorne,Khorne,
Weirdboy,'NORP',weirdboy,Weirdboy,
Loota,'ORG',loota,Loota,
Deathskulls,'NORP',deathskulls,Deathskulls,
Gork,'PERSON',gork,Gork,
Warpspace,'LOC',warpspace,Warpspace,
Feral Orks,'ORG',feral orks,Feral Orks,
Orkoids,'NORP',orkoids,Orkoids,
Kommandoz,'PERSON',kommandoz,Kommandoz,
The Beast,'PERSON',the beast,The Beast,
Craftworld   ,'LOC',craftworld,Craftworld,
Gretchins,'NORP',gretchins,Gretchins,
Blood Axes,'PERSON',blood axes,Blood Axes,
Gorkamorka,'ORG',gorkamorka,Gorkamorka,
Nazdreg,'PERSON',nazdreg,Nazdreg,
Trappas,'NORP',trappas,Trappas,
Lootas,'NORP',lootas,Lootas,
Ork Empire,'ORG',ork empire,Ork Empire,
Shoota,'PERSON',shoota,Shoota,
Mekboy,'PERSON',mekboy,Mekboy,
Nob,'NORP',nob,Nob,
Bad Moons,'NORP',bad moons,Bad Moons,
Morkanaut,'NORP',morkanaut,Morkanaut,
Segmentum,'LOC',segmentum,Segmentum,
Deffkopta,'ORG',deffkopta,Deffkopta,
Meganob,'PERSON',meganob,Meganob,
Human,'NORP',human,Human,
Ork Boy,'PERSON',ork boy,Ork Boy,
Morkanauts,'NORP',morkanauts,Morkanauts,
Rogue Traders,'ORG',rogue traders,Rogue Traders,
Drukhari,'NORP',drukhari,Drukhari,
Warlord,'PERSON',warlord,warlord,
Death World,'LOC',death world,Death World,
Planetsmasha,'PERSON',planetsmasha,Planetsmasha,
Greenskin,'PERSON',greenskin,Greenskin,
Weirdboyz,'PERSON',weirdboyz,Weirdboyz,
Asuryani,'NORP',asuryani,Asuryani,
Adeptus Astartes,'LOC',adeptus astartes,Adeptus Astartes,
Ghazghkull Thraka,'PERSON',ghazghkull thraka,Ghazghkull Thraka,
Warmaster,'PERSON',warmaster,Warmaster,
Squigs,'NORP',squigs,Squigs,
Tuska,'PERSON',tuska,Tuska,
Wild Riders,'PERSON',wild riders,Wild Riders,
Overlord,'PERSON',overlord,Overlord,
Crimson Fists,'ORG',crimson fists,Crimson Fists,
Stormboyz,'ORG',stormboyz,Stormboyz,
Slaverz,'PERSON',slaverz,Slaverz,
Necrontyr,'NORP',necrontyr,Necrontyr,
Librarius,'ORG',librarius,Librarius,
Word Bearers,'PERSON',word bearers,Word Bearers,
Honsou,'PERSON',honsou,Honsou,
Legions,'ORG',legions,Legions,
Kraken,'ORG',kraken,Kraken,
Perturabo,'PERSON',perturabo,Perturabo,
Suzerain Invictarus,'PERSON',suzerain invictarus,Suzerain Invictarus,
Mira,'PERSON',mira,Mira,
Chaos Cult,'ORG',chaos cult,Chaos Cult,
Horus Lupercal,'PERSON',horus lupercal,Horus Lupercal,
Master of the Marches,'ORG',master of the marches,Master of the Marches,
Harlequins,'PERSON',harlequins,Harlequins,
Iax    ,'ORG',iax,Iax,
Imperial Guardsmen,'NORP',imperial guardsmen,Imperial Guardsmen,
Eastern Fringes,'LOC',eastern fringes,Eastern Fringes,
Salamanders,'NORP',salamanders,Salamanders,
Traitor,'PERSON',traitor,Traitor,
Chaos Space Marine,'ORG',chaos space marine,Chaos Space Marine,
Nurgle,'PERSON',nurgle,Nurgle,
Vanguard Space Marines,'ORG',vanguard space marines,Vanguard Space Marines,
Imperialis Armada,'ORG',imperialis armada,Imperialis Armada,
Librarians,'NORP',librarians,Librarians,
Obsidian Jaguars,'ORG',obsidian jaguars,Obsidian Jaguars,
Decimus Felix    ,'PERSON',decimus felix,Decimus Felix,
Talassar,'PERSON',talassar,Talassar,
Jehnnus Ardias    ,'PERSON',jehnnus ardias,Jehnnus Ardias,
Ultramar  ,'LOC',ultramar,Ultramar,
Remus Ventanus,'PERSON',remus ventanus,Remus Ventanus,
Skargor,'PERSON',skargor,Skargor,
Raven Guard  ,'ORG',raven guard,Raven Guard,
Novamarines   ,'ORG',novamarines,Novamarines,
Ollonius   ,'PERSON',ollonius,Ollonius,
Era Indomitus,'ORG',era indomitus,Era Indomitus,
Lucretius Corvo   ,'PERSON',lucretius corvo,Lucretius Corvo,
Achilus,'PERSON',achilus,Achilus,
Lucian Ventris,'PERSON',lucian ventris,Lucian Ventris,
White Scars   ,'ORG',white scars,White Scars,
Company,'ORG',company,company,
X Legion,'ORG',x legion,X Legion,
Tylos Rubio,'PERSON',tylos rubio,Tylos Rubio,
Calth,'PERSON',calth,Calth,
Oberdeii    ,'PERSON',oberdeii,Oberdeii,
Administratum,'ORG',administratum,Administratum,
Tesstra Prime,'ORG',tesstra prime,Tesstra Prime,
Stormraven,'ORG',stormraven,Stormraven,
Tarellians,'NORP',tarellians,Tarellians,
Tyrus,'PERSON',tyrus,Tyrus,
Imperial Navy,'ORG',imperial navy,Imperial Navy,
Chaos Cults,'ORG',chaos cults,Chaos Cults,
Fateweaver,'PERSON',fateweaver,Fateweaver,
Prandium,'LOC',prandium,Prandium,
Grey Knights,'ORG',grey knights,Grey Knights,
Caliban,'PERSON',caliban,Caliban,
Space Marine Legion,'ORG',space marine legion,Space Marine Legion,
Legionary,'NORP',legionary,Legionary,
Nuceria,'ORG',nuceria,Nuceria,
Legion,'ORG',legion,Legion,
Imperial Fists,'ORG',imperial fists,Imperial Fists,
Planetary Defence Force,'ORG',planetary defence force,Planetary Defence Force,
Aldrik Voldus,'PERSON',aldrik voldus,Aldrik Voldus,
Traitor Legions,'ORG',traitor legions,Traitor Legions,
Zaraphiston,'PERSON',zaraphiston,Zaraphiston,
Sotha,'LOC',sotha,Sotha,
Mordant,'NORP',mordant,Mordant,
Viridian Consuls,'NORP',viridian consuls,Viridian Consuls,
Ultramarines Legion,'ORG',ultramarines legion,Ultramarines Legion,
Chartist,'NORP',chartist,Chartist,
Veterans,'ORG',veterans,Veterans,
Parmenio,'LOC',parmenio,Parmenio,
Black Legion,'ORG',black legion,Black Legion,
Anchise,'PERSON',anchise,Anchise,
Tarentus,'LOC',tarentus,Tarentus,
Ultima Segmentum,'LOC',ultima segmentum,Ultima Segmentum,
Ixion,'PERSON',ixion,Ixion,
Visarch,'NORP',visarch,Visarch,
Honour Guard,'ORG',honour guard,Honour Guard,
Numitor   ,'PERSON',numitor,Numitor,
Cato Sicarius,'PERSON',cato sicarius,Cato Sicarius,
Luna,'LOC',luna,Luna,
Graia,'LOC',graia,Graia,
Mount Pharos,'LOC',mount pharos,Mount Pharos,
Archenemy,'ORG',archenemy,Archenemy,
Traitor Guard,'ORG',traitor guard,Traitor Guard,
Daemonculaba,'PERSON',daemonculaba,Daemonculaba,
Chapter Fleet,'ORG',chapter fleet,Chapter fleet,
Sidonus    ,'PERSON',sidonus,Sidonus,
the Emperor of Mankind,'PERSON',the emperor of mankind,The Emperor of Mankind,
Centurion,'PERSON',centurion,Centurion,
Chapter,'ORG',chapter,Chapter,
Pharos,'NORP',pharos,Pharos,
Hrud,'PERSON',hrud,Hrud,
Talasa Prime,'PERSON',talasa prime,Talasa Prime,
Castor Alcade    ,'PERSON',castor alcade,Castor Alcade,
Prascus,'PERSON',prascus,Prascus,
Sedna,'PERSON',sedna,Sedna,
Nucerian,'NORP',nucerian,Nucerian,
Volistad,'LOC',volistad,Volistad,
Primarchs,'PERSON',primarchs,Primarchs,
Guilliman,'PERSON',guilliman,Guilliman,
Lorgar,'PERSON',lorgar,Lorgar,
Archmagos,'NORP',archmagos,archmagos,
Selenar,'NORP',selenar,Selenar,
Tetrarch,'PERSON',tetrarch,Tetrarch,
Proteus,'PERSON',proteus,Proteus,
Iron Warriors,'PERSON',iron warriors,Iron Warriors,
Astartes,'ORG',astartes,Astartes,
Arcaes Odenathus,'PERSON',arcaes odenathus,Arcaes Odenathus,
Pavonis,'LOC',pavonis,Pavonis,
Primaris Space Marines,'NORP',primaris space marines,Primaris Space Marines,
Corvus Corax,'PERSON',corvus corax, Corvus Corax,
Orpheus Prime,'ORG',orpheus prime,Orpheus Prime,
Locutarus Storm Squad,'ORG',locutarus storm squad,Locutarus Storm Squad,
Eastern Fringe,'LOC',eastern fringe,Eastern Fringe,
Nemiel,'PERSON',nemiel,Nemiel,
First Founding   ,'ORG',first founding,First Founding,
Tarsis Ultra,'LOC',tarsis ultra,Tarsis Ultra,
Triumvirate,'ORG',triumvirate,Triumvirate,
Pasanius Lysane    ,'PERSON',pasanius lysane,Pasanius Lysane,
Ullanor,'PERSON',ullanor,Ullanor,
Mortarion,'ORG',mortarion,Mortarion,
Marius Gage,'PERSON',marius gage,Marius Gage,
Maelstrom,'LOC',maelstrom,Maelstrom,
Renegades,'NORP',renegades,Renegades,
Armoury,'ORG',armoury,armoury,
Aquiloan Brotherhood,'ORG',aquiloan brotherhood,Aquiloan Brotherhood,
Abhuman,'NORP',abhuman,Abhuman,
Katarinya Greyfax,'PERSON',katarinya greyfax,Katarinya Greyfax,
Istvaan V,'LOC',istvaan v,Istvaan V,
Hellios   ,'PERSON',hellios,Hellios,
Lazlo Tiberius,'PERSON',lazlo tiberius,Lazlo Tiberius,
Triumph of Ullanor,'PERSON',triumph of ullanor,Triumph of Ullanor,
Ancient  ,'PERSON',ancient,Ancient,
Earth,'LOC',earth,Earth,
Orpheus,'PERSON',orpheus,Orpheus,
Macragge,'LOC',macragge,Macragge,
Reclusiam,'ORG',reclusiam,Reclusiam,
Dark Angels,'NORP',dark angels,Dark Angels,
Titus    ,'PERSON',titus,Titus,
World Eaters,'ORG',world eaters,World Eaters,
Crusade,'PERSON',crusade,Crusade,
Cadia,'ORG',cadia,Cadia,
Antaro Chronus,'PERSON',antaro chronus,Antaro Chronus,
Armouries,'ORG',armouries,Armouries,
Leandros,'PERSON',leandros,Leandros,
Grimskull,'PERSON',grimskull,Grimskull,
Alivia Sureka,'PERSON',alivia sureka,Alivia Sureka,
Traitor Legion,'ORG',traitor legion,Traitor Legion,
Ultima Squad,'ORG',ultima squad,Ultima Squad,
Dark Mechanicum  ,'ORG',dark mechanicum,Dark Mechanicum,
Holguin,'PERSON',holguin,Holguin,
Dreadnought,'ORG',dreadnought,Dreadnought,
Serghar Targost,'PERSON',serghar targost,Serghar Targost,
Stasis Field,'LOC',stasis field,stasis field,
Devastator Squad,'ORG',devastator squad,Devastator Squad,
Antilochus   ,'PERSON',antilochus,Antilochus,
Mechanicum,'NORP',mechanicum,Mechanicum,
Toria Telion,'PERSON',toria telion,Toria Telion,
Psybrids,'NORP',psybrids,Psybrids,
Crimson Consuls,'ORG',crimson consuls,Crimson Consuls,
Idaeus,'PERSON',idaeus,Idaeus,
Ynnead,'PERSON',ynnead,Ynnead,
Loyalist,'NORP',loyalist,Loyalist,
Astronomican,'LOC',astronomican,Astronomican,
Thousand Sons,'ORG',thousand sons,Thousand Sons,
Odaenathus    ,'PERSON',odaenathus,Odaenathus,
Tartella System,'LOC',tartella system,Tartella System,
Leman Russ,'PERSON',leman russ,Leman Russ,
Proximo Tarchon,'PERSON',proximo tarchon,Proximo Tarchon,
Njal Stormcaller,'PERSON',njal stormcaller,Njal Stormcaller,
Death Guard   ,'ORG',death guard,Death Guard,
Segmentum Tempestus,'LOC',segmentum tempestus,Segmentum Tempestus,
Kairos Fateweaver,'PERSON',kairos fateweaver,Kairos Fateweaver,
Mortifactors   ,'ORG',mortifactors,Mortifactors,
Sepulchre,'LOC',sepulchre,Sepulchre,
Vanguard Marine,'ORG',vanguard marine,Vanguard Marine,
Typhus,'PERSON',typhus,Typhus,
Damnos,'LOC',damnos,Damnos,
Aethon,'PERSON',aethon,Aethon,
Septimus   ,'PERSON',septimus,Septimus,
Sicarius,'PERSON',sicarius,Sicarius,
Mephiston,'PERSON',mephiston,Mephiston,
Tullian Aquila    ,'PERSON',tullian aquila,Tullian Aquila,
Solon,'PERSON',solon,Solon,
Gaius,'PERSON',gaius,Gaius,
Ferrus Manus,'PERSON',ferrus manus,Ferrus Manus,
Quintarn,'LOC',quintarn,Quintarn,
Legio Mortis,'PERSON',legio mortis,Legio Mortis,
Octavius,'PERSON',octavius,Octavius,
Sylandri Veilwalker,'PERSON',sylandri veilwalker,Sylandri Veilwalker,
Sevastus Acheran,'PERSON',sevastus acheran,Sevastus Acheran,
Mechanicus,'PERSON',mechanicus,Mechanicus,
Apothecarion,'ORG',apothecarion,Apothecarion,
Davin,'LOC',davin,Davin,
Sons of Horus,'ORG',sons of horus,Sons of Horus,
the  Red Corsairs,'ORG',the red corsairs,The Red Corsairs,
Equerry,'PERSON',equerry,Equerry,
Pyre,'PERSON',pyre,Pyre,
Sinon,'ORG',sinon,Sinon,
Seneschal,'PERSON',seneschal,Seneschal,
Eldrad Ulthran,'PERSON',eldrad ulthran,Eldrad Ulthran,
Doom Eagles,'ORG',doom eagles,Doom Eagles,
Galatan,'PERSON',galatan,Galatan,
Silver Eagles,'ORG',silver eagles,Silver Eagles,
Ichar IV,'LOC',ichar iv,Ichar IV,
Sons of Orar  ,'ORG',sons of orar,Sons of Orar,
Master of the Watch,'ORG',master of the watch,Master of the Watch,
Primus,'PERSON',primus,Primus,
Eagle Warriors,'ORG',eagle warriors,Eagle Warriors,
Prospero,'PERSON',prospero,Prospero,
Lysimachus Cestus,'PERSON',lysimachus cestus,Lysimachus Cestus,
Sol System,'LOC',sol system,Sol System,
Phelian   ,'PERSON',phelian,Phelian,
Armand Titus,'PERSON',armand titus,Armand Titus,
Carnifex,'PERSON',carnifex,Carnifex,
Necron,'NORP',necron,Necron,
Alpharius,'PERSON',alpharius,Alpharius,
XVI Legion,'ORG',xvi legion,XVI Legion,
Chapter Command,'ORG',chapter command,Chapter Command,
Titan Legion,'ORG',titan legion,Titan Legion,
Belisarius Cawl,'PERSON',belisarius cawl,Belisarius Cawl,
Vigilus,'LOC',vigilus,Vigilus,
Sebastus IV,'PERSON',sebastus iv,Sebastus IV,
Saint Celestine,'PERSON',saint celestine,Saint Celestine,
Vespastor,'LOC',vespastor,Vespastor,
Thrax,'PERSON',thrax,Thrax,
Helveticus,'PERSON',helveticus,Helveticus,
Mankind,'ORG',mankind,Mankind,
Konor,'ORG',konor,Konor,
Iron Warrior,'ORG',iron warrior,Iron Warrior,
Realm of Ultramar,'LOC',realm of ultramar,Realm of Ultramar,
Nemeroth,'PERSON',nemeroth,Nemeroth,
Alpharius Omegon,'PERSON',alpharius omegon,Alpharius Omegon,
Ultramarine,'PERSON',ultramarine,Ultramarine,
I Legion  ,'ORG',i legion,I Legion,
Fulgrim,'PERSON',fulgrim,Fulgrim,
Libators,'NORP',libators,Libators,
Cypra Mundi,'LOC',cypra mundi,Cypra Mundi,
Fire Hawks,'ORG',fire hawks,Fire Hawks,
Daemon Prince,'PERSON',daemon prince,Daemon Prince,
Red Consuls,'NORP',red consuls,Red Consuls,
Iron Snakes,'ORG',iron snakes,Iron Snakes,
Thramas,'ORG',thramas,Thramas,
Dwell,'LOC',dwell,Dwell,
Darkhold,'LOC',darkhold,Darkhold,
Old Earth,'LOC',old earth,Old Earth,
Konrad Curze,'PERSON',konrad curze,Konrad Curze,
Lamenters,'PERSON',lamenters,Lamenters,
Tigurius,'PERSON',tigurius,Tigurius,
Ortan Cassius,'PERSON',ortan cassius,Ortan Cassius,
Crozius,'PERSON',crozius,Crozius,
Psykers,'NORP',psykers,psykers,
Fire Angels,'ORG',fire angels,Fire Angels,
Vulkan,'PERSON',vulkan,Vulkan,
Master of the Rites,'ORG',master of the rites,Master of the Rites,
Newborn,'PERSON',newborn,Newborn,
the  Emperor,'PERSON',the emperor,the Emperor,
Loyalists,'NORP',loyalists,Loyalists,
Age of Rebirth,'PERSON',age of rebirth,Age of Rebirth,
Doom Legion,'ORG',doom legion,Doom Legion,
Agnathio,'PERSON',agnathio,Agnathio,
Corillia,'PERSON',corillia,Corillia,
Nathaniel Garro,'PERSON',nathaniel garro,Nathaniel Garro,
Neophyte,'NORP',neophyte,Neophyte,
Nemendghast,'PERSON',nemendghast,Nemendghast,
XIII Legion,'ORG',xiii legion,XIII Legion,
Chapters,'ORG',chapters,Chapters,
Fennias Maxim,'PERSON',fennias maxim,Fennias Maxim,
Maloq Kartho,'PERSON',maloq kartho,Maloq Kartho,
Cadian Shock Troops  ,'ORG',cadian shock troops,Cadian Shock Troops,
Dolumar IV,'ORG',dolumar iv,Dolumar IV ,
Mars,'LOC',mars,Mars,
Imperialis Militia,'ORG',imperialis militia,Imperialis Militia,
Martian,'NORP',martian,Martian,
Company Champion,'ORG',company champion,Company Champion,
Ruinstorm,'ORG',ruinstorm,Ruinstorm,
Ventanus,'PERSON',ventanus,Ventanus,
Traitors,'NORP',traitors,Traitors,
Aquila,'PERSON',aquila,Aquila,
Imperium Secundus,'ORG',imperium secundus,Imperium Secundus,
Invasion of Ultramar,'PERSON',invasion of ultramar,Invasion of Ultramar,
Unification,'ORG',unification,Unification,
Ullanor Sector,'LOC',ullanor sector,Ullanor Sector,
Caito Galenus   ,'PERSON',caito galenus,Caito Galenus,
Imperius Reavers,'ORG',imperius reavers,Imperius Reavers,
Legion Destroyer Squad,'ORG',legion destroyer squad,Legion Destroyer Squad,
Daemon World,'LOC',daemon world,Daemon World,
Obsidian Glaives,'NORP',obsidian glaives,Obsidian Glaives,
Iron Hounds,'NORP',iron hounds,Iron Hounds,
xenos,'NORP',xenos,xenos,
Heldrake,'NORP',heldrake,Heldrake,
Librarian,'PERSON',librarian,Librarian,
Legiones Astartes,'NORP',legiones astartes,Legiones Astartes,
Eskrador,'LOC',eskrador,Eskrador,
Marius Amalrich,'PERSON',marius amalrich,Marius Amalrich,
Medrengard,'LOC',medrengard,Medrengard,
Epsilon Regalis,'LOC',epsilon regalis,Epsilon Regalis,
Renegade,'NORP',renegade,Renegade,
Space Marine Legions,'ORG',space marine legions,Space Marine Legions,
Kor Phaeron,'PERSON',kor phaeron,Kor Phaeron,
Fortress of Hera   ,'ORG',fortress of hera,Fortress of Hera,
Lotara Sarrin,'PERSON',lotara sarrin,Lotara Sarrin,
Severus,'PERSON',severus,Severus,
Howling Griffons  ,'ORG',howling griffons,Howling Griffons,
Space Wolves   ,'ORG',space wolves,Space Wolves,
Angron,'PERSON',angron,Angron,
Aeonid Thiel,'PERSON',aeonid thiel,Aeonid Thiel,
Ullanor System,'LOC',ullanor system,Ullanor System,
Genesis Chapter,'ORG',genesis chapter,Genesis Chapter,
Knights Errant,'ORG',knights errant,Knights Errant,
Guardian,'ORG',guardian,Guardian,
Renegade Space Marines,'NORP',renegade space marines,Renegade Space Marines,
Shadow Crusade,'PERSON',shadow crusade,Shadow Crusade,
Omegon,'PERSON',omegon,Omegon,
Urrlak Urruk,'PERSON',urrlak urruk,Urrlak Urruk,
Kroot,'PERSON',kroot,Kroot,
Throneworld,'LOC',throneworld,Throneworld,
Legio Vulpa,'PERSON',legio vulpa,Legio Vulpa,
Veridian System,'LOC',veridian system,Veridian System,
Magnus,'PERSON',magnus,Magnus,
Severus Agemman,'PERSON',severus agemman,Severus Agemman,
Yvraine,'PERSON',yvraine,Yvraine,
Tetrarchy,'ORG',tetrarchy,Tetrarchy,
Questoris Familia   ,'ORG',questoris familia,Questoris Familia,
Nemesis,'ORG',nemesis,Nemesis,
Deathwatch,'ORG',deathwatch,Deathwatch,
Hydra Cordatus,'LOC',hydra cordatus,Hydra Cordatus,
Ynnari,'NORP',ynnari,Ynnari,
Varro Tigurius,'PERSON',varro tigurius,Varro Tigurius,
Primaris,'NORP',primaris,Primaris,
Master of Relics,'ORG',master of relics,Master of Relics,
Galenus,'PERSON',galenus,Galenus,
Reclusium,'ORG',reclusium,Reclusium,
Uriel Ventris,'PERSON',uriel ventris,Uriel Ventris,
War Hounds,'ORG',war hounds,War Hounds,
Veteran Marines,'ORG',veteran marines,Veteran Marines,
Imperial  Webway Project,'ORG',imperial webway project,Imperial Webway Project,
Aurora Chapter,'ORG',aurora chapter,Aurora Chapter,
Mithron,'LOC',mithron,Mithron,
Black Consuls,'ORG',black consuls,Black Consuls,
Victrix Guard,'ORG',victrix guard,Victrix Guard,
Luther,'PERSON',luther,Luther,
Night Haunter,'PERSON',night haunter,Night Haunter,
Warsmith,'PERSON',warsmith,Warsmith,
Bloodborn,'NORP',bloodborn,Bloodborn,
Learchus,'PERSON',learchus,Learchus,
Justaerin  ,'ORG',justaerin,Justaerin,
Malbede,'LOC',malbede,Malbede,
Erebus,'PERSON',erebus,Erebus,
Saturn,'LOC',saturn,Saturn,
Expeditionary Fleet,'ORG',expeditionary fleet,Expeditionary Fleet,
Commissariat,'ORG',commissariat,Commissariat,
Molech,'LOC',molech,Molech,
Magos,'PERSON',magos,magos,
Lord Executioner,'ORG',lord executioner,Lord Executioner,
Kruger,'PERSON',kruger,Kruger,
Black Reach,'LOC',black reach,Black Reach,
Great Scouring,'ORG',great scouring,Great Scouring,
Torias Telion,'PERSON',torias telion,Torias Telion,
Espandor,'LOC',espandor,Espandor,
Primaris Space Marine,'ORG',primaris space marine,Primaris Space Marine,
Council of Nikaea,'PERSON',council of nikaea,Council of Nikaea,
Khrave,'NORP',khrave,Khrave,
Drogan,'PERSON',drogan,Drogan,
Barabas Dantioch,'PERSON',barabas dantioch,Barabas Dantioch,
